total_cards,created_at,release_channel,user_id,stars,active_modifiers,passed,time_seconds,game_version,session_id,cards_failed,level_number,end_reason,player_id,mode,stage_name,cards_failed_count,rounds,id,session_doc_id,site_host
3,2026-03-09T01:59:30.854000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,0,[],False,6.36,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,"[{""position"": 2, ""hint_type"": ""background_color"", ""card_type"": ""colors"", ""prompt_target"": ""Background color"", ""actual"": ""b"", ""expected"": ""White""}]",36,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,,1,"[{""passed"": false, ""mode"": ""stages"", ""time_spent"": 7.9, ""round_number"": 1, ""level_number"": 36}]",0WFM1z3lNWMZI2k3LyIM,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
3,2026-03-09T01:58:35.390000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,1,"[""mathOps"", ""backgroundColor"", ""rotate"", ""swapCards"", ""glitch"", ""mathMinCount"", ""backgroundColorChance""]",True,16.92,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,[],35,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,Stage 35,0,"[{""passed"": true, ""mode"": ""stages"", ""time_spent"": 10.95, ""round_number"": 1, ""level_number"": 35}]",1PYHW9ejOTBiDQG8PN3Z,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
3,2026-03-09T02:01:31.058000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,0,[],False,6.6,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,"[{""position"": 2, ""hint_type"": ""90\u00b0_\u21bb"", ""card_type"": ""directions"", ""prompt_target"": ""90\u00b0 \u21bb"", ""actual"": ""\u2193"", ""expected"": ""Up""}, {""position"": 3, ""hint_type"": ""number"", ""card_type"": ""numbers"", ""prompt_target"": ""Number"", ""actual"": ""a"", ""expected"": ""9""}]",45,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,,2,"[{""passed"": false, ""mode"": ""stages"", ""time_spent"": 8.12, ""round_number"": 1, ""level_number"": 45}]",27VzkRCiDugCyMPrlKn2,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
2,2026-03-09T01:50:42.035000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,3,[],True,4.85,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,[],19,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,Stage 19,0,"[{""passed"": true, ""mode"": ""stages"", ""time_spent"": 1.5, ""round_number"": 1, ""level_number"": 19}, {""passed"": true, ""mode"": ""stages"", ""time_spent"": 1.99, ""round_number"": 2, ""level_number"": 19}]",2SCSnBw3IJTSFjf1DXbG,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
4,2026-03-09T01:50:55.703000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,4,"[""mathOps"", ""backgroundColor"", ""backgroundColorChance"", ""backgroundColorMinCount"", ""backgroundColorMaxCount"", ""backgroundPromptMinCount"", ""backgroundPromptMaxCount"", ""mathChance"", ""mathMinCount"", ""mathMaxCount""]",True,4.95,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,[],20,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,Stage 20,0,[],4mwZqgitArwc1ZkOXty1,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
3,2026-03-09T01:57:00.555000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,0,[],False,5.85,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,"[{""position"": 3, ""hint_type"": ""text_color"", ""card_type"": ""colors"", ""prompt_target"": ""Text color"", ""actual"": ""b"", ""expected"": ""Orange""}]",33,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,,1,"[{""passed"": false, ""mode"": ""stages"", ""time_spent"": 5.88, ""round_number"": 1, ""level_number"": 33}]",4xurcLVsCWRA9zn6ginF,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
2,2026-03-09T01:51:48.292000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,0,[],False,6.31,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,"[{""position"": 1, ""hint_type"": ""text_color"", ""card_type"": ""colors"", ""prompt_target"": ""Text color"", ""actual"": ""o"", ""expected"": ""Brown""}]",23,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,,1,"[{""passed"": true, ""mode"": ""stages"", ""time_spent"": 3.04, ""round_number"": 1, ""level_number"": 23}, {""passed"": false, ""mode"": ""stages"", ""time_spent"": 3.31, ""round_number"": 2, ""level_number"": 23}]",56eJ1OTZjHqRhIzyLXbv,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
3,2026-03-09T01:54:06.458000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,0,[],False,7.55,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,"[{""position"": 2, ""hint_type"": ""90\u00b0_\u21bb"", ""card_type"": ""directions"", ""prompt_target"": ""90\u00b0 \u21bb"", ""actual"": ""blank"", ""expected"": ""Down""}, {""position"": 3, ""hint_type"": ""180\u00b0_\u21bb"", ""card_type"": ""diagonal"", ""prompt_target"": ""180\u00b0 \u21bb"", ""actual"": ""blank"", ""expected"": ""SW""}]",28,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,,2,"[{""passed"": false, ""mode"": ""stages"", ""time_spent"": 7.59, ""round_number"": 1, ""level_number"": 28}]",68qFDg6qGJ3RVhC43AZj,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
1,2026-03-09T02:23:52.722000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,0,[],False,0.35,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,"[{""position"": 1, ""hint_type"": ""background_color"", ""card_type"": ""colors"", ""prompt_target"": ""Background color"", ""actual"": ""blank"", ""expected"": ""White""}]",15,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,,1,"[{""passed"": false, ""mode"": ""stages"", ""time_spent"": 0.37, ""round_number"": 1, ""level_number"": 15}]",6GNVOlugM0iNE15YPD3e,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
3,2026-03-09T02:24:09.753000+00:00,custom,1F9bXcIBahSUmvIdD1Vee9sutIm2,0,[],False,0.95,2026.04.0,3cb71f86-93bd-4436-bec2-035b7b4809e0,"[{""position"": 1, ""hint_type"": ""text"", ""card_type"": ""colors"", ""prompt_target"": ""Text"", ""actual"": ""blank"", ""expected"": ""Yellow""}, {""position"": 2, ""hint_type"": ""background_color"", ""card_type"": ""colors"", ""prompt_target"": ""Background color"", ""actual"": ""blank"", ""expected"": ""Orange""}, {""position"": 3, ""hint_type"": ""background_color"", ""card_type"": ""colors"", ""prompt_target"": ""Background color"", ""actual"": ""blank"", ""expected"": ""Red""}]",16,level_end,7b41b0fc-1e8d-4bd5-a320-f6fe82978629,stages,,3,"[{""passed"": false, ""mode"": ""stages"", ""time_spent"": 0.97, ""round_number"": 1, ""level_number"": 16}]",6MtWb2GZmkdh5y8y7U1A,08ePAT9GxjGMOAGHdOq7,uploads.ungrounded.net
